SYMBOL,SHARES
RSG,318725000
RMD,145509000
RHI,113980000
ROK,116155000
COL,1333929696
ROP,104872000
ROST,356006000
RCL,224339000
SPGI,240700000
CRM,917734000
SBAC,111115000
SCG,5190378339
SLB,1392326000
SNI,1
STX,236682000
SEE,155153000
SRE,302251000
SHW,90825000
SIG,52339000
SPG,342849000
SWKS,164900000
SLG,70507000
SNA,54203000
SO,1056242000
LUV,590677000
SWK,160223000
SBUX,1177300000
STT,352798000
SRCL,91552000
SYK,376201000
STI,1
SYMC,1
SYF,584000000
SNPS,153032000
SYY,510412000
TROW,227946000
TPR,277838000
TGT,500773000
TEL,330889000
FTI,449408000
TXN,920239000
TXT,228875000
BK,886764000
CLX,125791000
COO,49143000
HSY,147530000
MOS,379090000
TRV,252214000
DIS,1815264000
TMO,396335000
TIF,121897160
TWX,1
TJX,1200631000
TMK,895000000
TSS,9570000
TSCO,116497000
TDG,54689000
TRIP,121725000
FOXA,334351000
FOX,256192000
TSN,294722000
USB,1506438000
UDR,296612000
ULTA,56339000
UAA,188534000
UA,231684000
UNP,673869000
UAL,311845000
UNH,948821000
UPS,715217000
URI,72199000
UTX,1
UHS,77724000
UNM,203700000
VFC,391714000
VLO,407789000
VAR,91839000
VTR,374571000
VRSN,114110000
VRSK,162590000
VZ,4138000000
VRTX,259960000
VIAB,1
V,1696114000
VNO,191261000
VMC,132511000
WMT,2829286000
WBA,865916000
WM,422606000
WAT,62048000
WEC,315435000
WFC,4134490000
HCN,312000
WDC,306097000
WU,411200000
WRK,263517000
WY,747385000
WHR,62980000
WMB,1213586000
WLTW,128965000
WYN,20051043
WYNN,114371000
XEL,525458000
XRX,198386000
XLNX,245277000
XL,131365000
XYL,180400000
YUM,301668000
ZBH,207278000
ZION,164090000
ZTS,475268000
